-------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations
-------------------------------------------------------------------------------------------
ADD_OP_BENCH/real_time                                  736 us          736 us         1913
SUB_OP_BENCH/real_time                                 1185 us         1184 us         1193
MUL_OP_BENCH/real_time                                 1979 us         1978 us          710
INV_OP_BENCH/real_time                                11698 us        11695 us          125
NTT_CPU_BENCH/24/real_time                              255 ms          155 ms            5
NTT_CPU_BENCH/36/real_time                              327 ms          216 ms            4
NTT_CPU_BENCH/56/real_time                              501 ms          333 ms            2
INTT_CPU_BENCH/24/real_time                             253 ms          164 ms            6
INTT_CPU_BENCH/36/real_time                             341 ms          233 ms            4
INTT_CPU_BENCH/56/real_time                             492 ms          360 ms            3
LDE_CPU_BENCH/24/real_time                              302 ms          193 ms            5
LDE_CPU_BENCH/36/real_time                              433 ms          263 ms            3
LDE_CPU_BENCH/56/real_time                              608 ms          418 ms            2
PERMUTE_W8_SCALAR_CPU_BENCH/real_time                   189 ms          130 ms            8
PERMUTE_W12_SCALAR_CPU_BENCH/real_time                  237 ms          178 ms            6
PERMUTE_W16_SCALAR_CPU_BENCH/real_time                  319 ms          235 ms            5
PERMUTE_W8_NEON_CPU_BENCH/real_time                     181 ms          137 ms            7
PERMUTE_W12_NEON_CPU_BENCH/real_time                    275 ms          210 ms            5
PERMUTE_W16_NEON_CPU_BENCH/real_time                    348 ms          249 ms            4
COMPRESS_W4_SCALAR_CPU_BENCH/real_time                  117 ms         82.8 ms           12
COMPRESS_W8_SCALAR_CPU_BENCH/real_time                  187 ms          132 ms            8
COMPRESS_W12_SCALAR_CPU_BENCH/real_time                 242 ms          181 ms            5
COMPRESS_W16_SCALAR_CPU_BENCH/real_time                 308 ms          236 ms            5
COMPRESS_W8_NEON_CPU_BENCH/real_time                    184 ms          137 ms            7
COMPRESS_W12_NEON_CPU_BENCH/real_time                   291 ms          213 ms            5
COMPRESS_W16_NEON_CPU_BENCH/real_time                   346 ms          266 ms            4
LINEAR_HASH_W8_SCALAR_CPU_BENCH/24/real_time           4078 ms         3360 ms            1
LINEAR_HASH_W8_SCALAR_CPU_BENCH/36/real_time           6133 ms         5007 ms            1
LINEAR_HASH_W8_SCALAR_CPU_BENCH/56/real_time           9269 ms         7843 ms            1
LINEAR_HASH_W12_SCALAR_CPU_BENCH/24/real_time          2702 ms         2236 ms            1
LINEAR_HASH_W12_SCALAR_CPU_BENCH/36/real_time          4522 ms         3762 ms            1
LINEAR_HASH_W12_SCALAR_CPU_BENCH/56/real_time          6185 ms         5242 ms            1
LINEAR_HASH_W16_SCALAR_CPU_BENCH/24/real_time          2393 ms         1953 ms            1
LINEAR_HASH_W16_SCALAR_CPU_BENCH/36/real_time          3678 ms         3000 ms            1
LINEAR_HASH_W16_SCALAR_CPU_BENCH/56/real_time          6092 ms         4935 ms            1
MERKLETREE_W8_AR2_SCALAR_CPU_BENCH/24/real_time        4819 ms         3911 ms            1
MERKLETREE_W8_AR2_SCALAR_CPU_BENCH/36/real_time        6910 ms         5596 ms            1
MERKLETREE_W8_AR2_SCALAR_CPU_BENCH/56/real_time       10003 ms         8473 ms            1
MERKLETREE_W12_AR3_SCALAR_CPU_BENCH/24/real_time       3214 ms         2557 ms            1
MERKLETREE_W12_AR3_SCALAR_CPU_BENCH/36/real_time       4864 ms         4062 ms            1
MERKLETREE_W12_AR3_SCALAR_CPU_BENCH/56/real_time       6653 ms         5667 ms            1
MERKLETREE_W16_AR4_SCALAR_CPU_BENCH/24/real_time       2981 ms         2306 ms            1
MERKLETREE_W16_AR4_SCALAR_CPU_BENCH/36/real_time       4204 ms         3420 ms            1
MERKLETREE_W16_AR4_SCALAR_CPU_BENCH/56/real_time       6435 ms         5246 ms            1
GRINDING_CPU_BENCH/20/real_time                        86.1 ms         46.5 ms           23
GRINDING_CPU_BENCH/21/real_time                         124 ms         67.2 ms           13
GRINDING_CPU_BENCH/22/real_time                         194 ms          104 ms            6
GRINDING_CPU_BENCH/24/real_time                         356 ms          194 ms            4
GRINDING_CPU_BENCH/25/real_time                        2100 ms         1149 ms            1
